fit,qty,refs,value,part / MPN,footprint,notes
FLEET,2,Q3 Q4,BSS138,BSS138,Package_TO_SOT_SMD:SOT-23,Q3: Level shift modem TXD -> GPIO16 | Q4: Level shift GPIO17 -> modem RXD
FLEET,1,R1,2k2 1%,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Feedback top
FLEET,4,R11 R12 R13 R14,10k,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,"R11: Pull-up, modem side | R12: Pull-up, ESP32 side"
FLEET,1,R15,1k,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Gate series
FLEET,1,R16,100k,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Gate pull-down
FLEET,1,R2,1k 1%,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Feedback bottom
FLEET,1,TP4,+4V0,,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Test point
FLEET,1,U2,LM2576HVT-ADJ,TI LM2576HVT-ADJ,Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical,Buck 3.94 V for modem VBAT: 1.23 x (1 + 2k2/1k)
ALL,1,-,ESP32-S3-DevKitC-1 N16R8,Espressif,plugs into J10/J11,the module already in use
ALL,4,-,M3 mounting hole,,MountingHole:MountingHole_3.2mm_M3,corners
